id_pelanggan;usia;status_pekerjaan;lama_bekerja_tahun;pendapatan_tahunan;skor_kredit;lama_riwayat_kredit_tahun;aset_tabungan;hutang_saat_ini;gagal_bayar_tercatat;tunggakan_2thn_terakhir;catatan_negatif;tipe_produk;tujuan_pinjaman;jumlah_pinjaman;suku_bunga;rasio_hutang_terhadap_pendapatan;rasio_pinjaman_terhadap_pendapatan;rasio_pembayaran_terhadap_pendapatan;status_pinjaman
CUST100000;40.00.00;Employed;17.02;25579;692;05.03;895;10820;0;0;0;Kartu Kredit;Bisnis;600;17.02;0,29375;0.023;0.008;1
CUST100001;33.00.00;Employed;07.03;43087;627;03.05;169;16550;0;1;0;Pinjaman Pribadi;Renovasi Rumah;53300;14.01;0,266666667;1.237;0,286111111;0
CUST100002;42.00.00;Student;01.01;20840;689;08.04;17;7852;0;0;0;Kartu Kredit;Konsolidasi Hutang;2100;18.33;0,261805556;0,070138889;0.034;1
CUST100003;53.00.00;Student;00.05;29147;692;09.08;1480;11603;0;1;0;Kartu Kredit;Bisnis;2900;0,801388889;0,276388889;0.099;0.033;1
CUST100004;32.00.00;Employed;12.05;63657;630;07.02;209;12424;0;0;0;Pinjaman Pribadi;Pendidikan;99600;0,605555556;0,135416667;1.565;0,3625;1
CUST100005;32.00.00;Employed;13.04;32015;570;07.03;253;1120;0;0;2;Kartu Kredit;Pribadi;37000;0,980555556;0.035;1.156;0,267361111;0
CUST100006;53.00.00;Employed;22.09;44989;674;11.01;19667;19298;0;0;0;Pinjaman Pribadi;Renovasi Rumah;45600;11.02;0,297916667;1.014;0,234722222;1
CUST100007;44.00.00;Self-Employed;04.02;80603;625;18.05;830;38382;0;0;0;Kartu Kredit;Pribadi;51700;19.42;0,330555556;0,445138889;0,148611111;1
CUST100008;29.00.00;Employed;05.09;28416;569;02.06;1334;22668;1;2;0;Kartu Kredit;Pendidikan;33800;0,966666667;0,554166667;1.189;0,275;0
CUST100009;41.00.00;Employed;07.00;70717;638;21.05;1578;21394;0;1;0;Kartu Kredit;Pribadi;70000;19.35;0,210416667;0,06875;00.33;1
